User,ETH-USDT,ETH-USDC,ETH-DAI,ETH-UST,ETH-BUSD,BSC-USDT,BSC-USDC,BSC-DAI,BSC-BUSD,Total
0x000f4432a40560bbff1b581a8b7aded8dab80026,0,35000,0,0,0,0,0,0,0,35000
0xd96c43e4d06fefb4641f89c0742893814b7f4560,0,35000,0,0,0,0,0,0,0,35000
0x72cf8c26bd2955b379eee6b0adc016671c2778c7,20000,0,0,0,0,0,0,0,0,20000
0x23e9fd8572e5ad4651c0a0a5436d872810dfaf02,2500,0,0,0,0,0,0,0,0,2500
0xc8d46eb7881975f9ae15216feeba2ff58e55803c,0,3600,0,0,0,0,0,0,0,3600
0xc428a5eec605fda02af8083ad1928b669b81957c,20000,0,0,0,0,0,0,0,0,20000
0x857456e6abfbab1160f454efb552035acd2228f0,9000,0,0,0,0,0,0,0,0,9000
0xefb10e5ce5bf77e58ef80e01e2401b66d5a73c2f,0,9000,0,0,0,0,0,0,0,9000
0x9152738aa11b9989fcb368f79456e885d5074765,10900,0,0,0,0,0,0,0,0,10900
0x04c4a90801d1ef5ae8576a0a5bdd8eeab362a644,7000,0,0,0,0,0,0,0,0,7000
0x007e363726dfe9491bb48a2c0b91aa1f1d9b43a9,11000,0,0,0,0,0,0,0,0,11000
0x8f7fb41c02674b19307d35f1429440ff1d040e37,0,1000,0,0,0,0,0,0,0,1000
0x46a08fabb499f299c82bb2e55284c24c0864e34d,0,1007.941671,0,0,0,0,0,0,0,1007.941671
0x52adff5059a18fd2f8f73f64fa1ac9cfa03cb082,1350,0,0,0,0,0,0,0,0,1350
0xfa4dbd193a8970cb04cfe7f169a1429b6946db30,35000,0,0,0,0,0,0,0,0,35000
0xa1c7bd2e48f7f3922e201705f3491c841135f483,0,3000,0,0,0,0,0,0,0,3000
0x96dc89dbe84970ee42a2f0b35fb50599e6745ff8,0,1000,0,0,0,0,0,0,0,1000
0x1c24525bf878ea9d2ab7f07d9b08fb38b99de470,0,33146.7029,0,0,0,0,0,0,0,33146.7029
0xae6902fd6f62d7b0963c726636f7102ae870d3e5,6800,0,0,0,0,0,0,0,0,6800
0xc62785b58724d744b843e479d76d47897e61ca7e,11000,0,0,0,0,0,0,0,0,11000
0x4a32a2a2640abad3d4fe15100afc625355733077,10000,0,0,0,0,0,0,0,0,10000
0xd69fbb86e509350c1f58813c821df30fefa7c79f,9200,0,0,0,0,0,0,0,0,9200
0xe60f9122209c8d3490d6feea908c093ae0d0e93c,0,1000,0,0,0,0,0,0,0,1000
0x17cfba9989489967663353c778bc266f482e291c,0,0,15901.64255,0,0,0,0,0,0,15901.64255
0x3db6119a8667624bad084e51cdf3577eb26415f9,900,0,0,0,0,0,0,0,0,900
0xf0345a3a968f247eb47ba98dfd75fb20e72f4cf7,0,2400,0,0,0,0,0,0,0,2400
0xc074e6fe27459284664ae7bf64f927a834fac40e,0,35000,0,0,0,0,0,0,0,35000
0x0ade5827980db98bbd945171723f3fdec9dd03fc,0,30000,0,0,0,0,0,0,0,30000
0xdae6ca75bb2afd213e5887513d8b1789122eaaea,8000,0,0,0,0,0,0,0,0,8000
0xed2c2cdec695be3a4dc421c1a8a6756dc5a927b6,30000,0,0,0,0,0,0,0,0,30000
